model,cohort,Tgi,Tga,Tig,Tag,Tia,Tai,Cgi,Cig,Cag,Cga,Cia,Cai,md,p,DIC,PSRF,Tgi_rhat,Tga_rhat,Tig_rhat,Tag_rhat,Tia_rhat,Tai_rhat,Cgi_rhat,Cig_rhat,Cag_rhat,Cga_rhat,Cia_rhat,Cai_rhat,Tgi_median,Tga_median,Tig_median,Tag_median,Tia_median,Tai_median,Cgi_median,Cig_median,Cag_median,Cga_median,Cia_median,Cai_median
Diffusion,1980,0.71083,0.66699,0.21529,0.06806,0.4872,0.09586,0,0,0,0,0,0,-93.17,7.46,-85.71,1,1,1,1,1,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.77074,0.72404,0.19458,0.06628,0.47888,0.08958,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diffusion,1981,0.66166,0.61439,0.29069,0.10131,0.38479,0.06226,0,0,0,0,0,0,-98.73,8.798,-89.93,1.01,1.01,1,1,1,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.704632,0.644827,0.282804,0.101053,0.367027,0.052792,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diffusion,1982,0.81491,0.58995,0.38485,0.09646,0.42654,0.04843,0,0,0,0,0,0,-86.91,8.746,-78.16,1,1,1,1,1,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.86319,0.61717,0.37273,0.09282,0.41587,0.03966,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diffusion,1983,0.595368,0.213651,0.12225,0.043521,0.633298,0.078883,0,0,0,0,0,0,-99.91,10.98,-88.93,1,1,1,1,1,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.621077,0.178046,0.101782,0.04437,0.648284,0.075464,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diffusion,1984,0.36452,0.3106,0.11788,0.03456,0.5039,0.08595,0,0,0,0,0,0,-75.04,9.756,-65.28,1,1,1,1,1,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.36796,0.28926,0.08706,0.02679,0.49706,0.07817,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
