"time","cohort","age","catatrans","obs_proportion","mx","my","catatransT","OD_proportion","OC_proportion","SD_proportion","SC_proportion","sqdif_OD","sqdif_OC","sqdif_SD","sqdif_SC"
2000,1980,20,"pG",0.188902007083825,"G","G","pG00",0.188902007083825,0.188902007083825,0.188902007083825,0.188902007083825,0,0,0,0
2001,1980,21,"pG",0.179456906729634,"G","G","pG01",0.161932467532468,0.185544964169672,0.175918203326136,0.199319480519481,0.000307105969175184,3.70644433931985e-05,1.25224217779271e-05,0.000394521837557098
2002,1980,22,"pG",0.153482880755608,"G","G","pG02",0.16655332216647,0.182306797300959,0.170232058080564,0.216350556644038,0.000170836438674772,0.00083081816501336,0.000280534941062823,0.00395234467161265
2003,1980,23,"pG",0.168831168831169,"G","G","pG03",0.165373048726487,0.179186558289636,0.167511118557323,0.244252424195718,1.19585946584024e-05,0.000107234090836532,1.74253272548088e-06,0.00568836576076452
2004,1980,24,"pG",0.165289256198347,"G","G","pG04",0.165516619837863,0.176183117246992,0.166147240148638,0.290053203264618,5.16942245739003e-08,0.000118676208547172,7.36136458956601e-07,0.0155660424875552
2005,1980,25,"pG",0.17827626918536,"G","G","pG05",0.165456113728437,0.173295182313802,0.16544349895967,0.365371253531164,0.000164356385939685,2.4811226422012e-05,0.00016467999166535,0.0350045331673565
2006,1980,26,"pG",0.160566706021251,"G","G","pG06",0.165456976668177,0.170521318630414,0.165072882522996,0.489437015663707,2.39147470001851e-05,9.90943121984932e-05,2.03056266648741e-05,0.108155680564325
2007,1980,27,"pG",0.165289256198347,"G","G","pG07",0.165452894107479,0.167859966464085,0.164874652325175,0.694116299037181,2.67773653051427e-08,6.60855127037055e-06,1.71896371649701e-07,0.279658041237666
2008,1980,28,"pG",0.172373081463991,"G","G","pG08",0.165452337928313,0.165309458429499,0.164767327780822,1.03226673069704,4.78966910866167e-05,4.98947703733932e-05,5.78474890890264e-05,0.739417087991326
2009,1980,29,"pG",0.161747343565525,"G","G","pG09",0.16545196971914,0.162868035755561,0.164708658060454,1.59164822936981,1.37242549380458e-05,1.25595098480761e-06,8.76938353787681e-06,2.04461654322388
2010,1980,30,"pG",0.164108618654073,"G","G","pG10",0.165451875413223,0.160533863567204,0.16467634079159,2.518092701528,1.80433872100062e-06,1.27788739311003e-05,3.22308425426325e-07,5.54124106242379
2000,1981,19,"pG",0.244582043343653,"G","G","pG00",0.244582043343653,0.244582043343653,0.244582043343653,0.244582043343653,0,0,0,0
2001,1981,20,"pG",0.21671826625387,"G","G","pG01",0.210950784313725,0.234430106553946,0.215883586591988,0.252407079463364,3.32638479298927e-05,0.000313709286815408,6.96690137958799e-07,0.00127369138830217
2002,1981,21,"pG",0.203302373581011,"G","G","pG02",0.20455098465676,0.224960040837588,0.205919433211207,0.263914034308669,1.559029618481e-06,0.000469054550996611,6.8490011079982e-06,0.00367377341616464
2003,1981,22,"pG",0.215686274509804,"G","G","pG03",0.201569569478157,0.216173979445347,0.201479024190323,0.280938678350313,0.000199281360950525,2.37856104153201e-07,0.000201845961640389,0.00425787620696491
2004,1981,23,"pG",0.205366357069143,"G","G","pG04",0.199967976810129,0.208066889043891,0.199298394272525,0.306276140897489,2.91425094209119e-05,7.29287294663324e-06,3.68201725011476e-05,0.0101827844722835
2005,1981,24,"pG",0.212590299277606,"G","G","pG05",0.199097138284084,0.200627746699379,0.19816758396957,0.344199996326879,0.000182065393597104,0.000143102664186847,0.000208014716856644,0.0173211123574014
2006,1981,25,"pG",0.196078431372549,"G","G","pG06",0.19862318729315,0.193840693791284,0.197557718953449,0.401269024712879,6.47578269543537e-06,5.00746948260572e-06,2.18829174700552e-06,0.0421031795953567
2007,1981,26,"pG",0.192982456140351,"G","G","pG07",0.198365222146585,0.187686125261868,0.197218156010307,0.487583599547646,2.89741698778659e-05,2.80511207743692e-05,1.79411533883458e-05,0.0867898336968859
2008,1981,27,"pG",0.192982456140351,"G","G","pG08",0.198224814392382,0.182141684783252,0.197024031276493,0.618745744480937,2.74823200426426e-05,0.000117522323616888,1.63343295810813e-05,0.181274377698589
2009,1981,28,"pG",0.186790505675955,"G","G","pG09",0.198148391874213,0.177183147632575,0.19691066165906,0.818921679790473,0.000129001578892598,9.23013285736947e-05,0.000102417557122382,0.3995898212874
2010,1981,29,"pG",0.209494324045408,"G","G","pG10",0.19810679587038,0.172785182679422,0.196843352139899,1.12563340934213,0.000129675797937043,0.00134756105982794,0.000160047090153966,0.839310823608323
2000,1982,18,"pG",0.267258382642998,"G","G","pG00",0.267258382642998,0.267258382642998,0.267258382642998,0.267258382642998,0,0,0,0
2001,1982,19,"pG",0.227810650887574,"G","G","pG01",0.202369299802761,0.253336917212282,0.216994574409937,0.288319368836292,0.000647262345020697,0.000651590272479947,0.000116987510370084,0.0036613049477975
2002,1982,20,"pG",0.20414201183432,"G","G","pG02",0.20906030742574,0.240358914229449,0.206033534091918,0.32028294277998,2.41896315245826e-05,0.00131166401909831,3.5778564509896e-06,0.0134887158409247
2003,1982,21,"pG",0.209072978303748,"G","G","pG03",0.197849726168471,0.228380253001522,0.200882417096571,0.368878727073653,0.00012596138849198,0.000372770856255323,6.70852928884993e-05,0.0255378773399103
2004,1982,22,"pG",0.181459566074951,"G","G","pG04",0.196725771909083,0.217432023109498,0.198098256665081,0.442894249993107,0.000233057040570102,0.00129401766510237,0.000276846024554103,0.0683480939553861
2005,1982,23,"pG",0.212031558185404,"G","G","pG05",0.194294889353368,0.207523670585967,0.196515472529881,0.555832152105283,0.000314589421257334,2.03210506091613e-05,0.000240748914069539,0.118198848379661
2006,1982,24,"pG",0.17258382642998,"G","G","pG06",0.193548796683668,0.198646633002493,0.195590175791729,0.728478855726713,0.000439529977738013,0.000679269886436205,0.000529292110954814,0.309019283596816
2007,1982,25,"pG",0.176528599605523,"G","G","pG07",0.192912818427588,0.190778111479121,0.195038563440647,0.992892969998232,0.000268442626409317,0.000203048588635814,0.000342618761177625,0.666450785246685
2008,1982,26,"pG",0.205128205128205,"G","G","pG08",0.192629424512579,0.183884700017662,0.194704865559647,1.39860872354286,0.000156219516877551,0.000451286509381651,0.000108646007761461,1.42439574783532
2009,1982,27,"pG",0.190335305719921,"G","G","pG09",0.192443923710083,0.177925676223533,0.194500780331053,2.02230063159368,4.44626982843443e-06,0.000153998904237631,1.73511787359877e-05,3.35609695520374
2010,1982,28,"pG",0.185404339250493,"G","G","pG10",0.192348430492555,0.17285583800893,0.194374976060658,2.98286491421432,4.82204031780794e-05,0.000157464883409515,8.04723247798847e-05,7.82578566847695
2000,1983,17,"pG",0.34247871333964,"G","G","pG00",0.34247871333964,0.34247871333964,0.34247871333964,0.34247871333964,0,0,0,0
2001,1983,18,"pG",0.270577105014191,"G","G","pG01",0.265204485335856,0.309150917387261,0.262244035138094,0.356776982024598,2.88650422080315e-05,0.0014879390009928,6.94400535599245e-05,0.00743041879660925
2002,1983,19,"pG",0.223273415326395,"G","G","pG02",0.223668125078597,0.276932630504224,0.22533235127945,0.375315949282876,1.55795788483004e-07,0.00287931137350046,4.23921725877922e-06,0.0231169321319075
2003,1983,20,"pG",0.195837275307474,"G","G","pG03",0.200811292957809,0.246595615172891,0.204454007351529,0.399298633606722,2.47408515858489e-05,0.00257640906589321,7.42480711190528e-05,0.0413965243209748
2004,1983,21,"pG",0.182592242194891,"G","G","pG04",0.188006171166069,0.218729758869564,0.19156047770614,0.430236512980638,2.9310626904957e-05,0.00130592011141227,8.04292481852223e-05,0.0613276848530045
2005,1983,22,"pG",0.187322611163671,"G","G","pG05",0.180737117560799,0.193707026678925,0.183250245294912,0.470008039131159,4.33687259934651e-05,4.07607614714179e-05,1.65841637690274e-05,0.079911051185162
2006,1983,23,"pG",0.183538315988647,"G","G","pG06",0.176571539930687,0.171683113927682,0.177768814665157,0.520913978302143,4.8535968641764e-05,0.000140545815906313,3.32871455217541e-05,0.11382233752147
2007,1983,24,"pG",0.176915799432356,"G","G","pG07",0.174168526013633,0.152629070447298,0.174103932304618,0.585716367459324,7.54751123722132e-06,0.000589845204793653,7.90659674405423e-06,0.167117904419172
2008,1983,25,"pG",0.174077578051088,"G","G","pG08",0.172775893714334,0.136379389229925,0.171632950002414,0.667636768729895,1.69438211255181e-06,0.00142115344039605,5.97620629636249e-06,0.243600674703519
2009,1983,26,"pG",0.164616840113529,"G","G","pG09",0.171966258429106,0.122683089056357,0.169957957913991,0.7702709375706,5.40139495773396e-05,0.00175843947772485,2.85275393584127e-05,0.36681688576654
2010,1983,27,"pG",0.1759697256386,"G","G","pG10",0.171494544252333,0.111248263122606,0.168818547642269,0.897346375863378,2.00272484399873e-05,0.00418886771020917,5.11393467351999e-05,0.520384271489521
2000,1984,16,"pG",0.399038461538462,"G","G","pG00",0.399038461538462,0.399038461538462,0.399038461538462,0.399038461538462,0,0,0,0
2001,1984,17,"pG",0.344230769230769,"G","G","pG01",0.306934596153846,0.349955322623891,0.302664872263314,0.408343105769231,0.0013910045261838,3.27705115506976e-05,0.00172772379070914,0.00411039169642096
2002,1984,18,"pG",0.251923076923077,"G","G","pG02",0.250375261797885,0.302474612262546,0.255723369697717,0.419663263452115,2.39573166177408e-06,0.00255545772517756,1.44422251729831e-05,0.0281367701767966
2003,1984,19,"pG",0.220192307692308,"G","G","pG03",0.215186127787425,0.258198484212148,0.228059242033136,0.43329866985817,2.50618372400555e-05,0.00144446945365726,6.18886559229006e-05,0.0454143215955677
2004,1984,20,"pG",0.178846153846154,"G","G","pG04",0.193054595605711,0.218340745240747,0.210246681982062,0.449505628534537,0.000201879817234736,0.00155982274942586,0.000985993167213937,0.0732565512385917
2005,1984,21,"pG",0.167307692307692,"G","G","pG05",0.179012916811212,0.183591360685721,0.198206424143626,0.468420869660512,0.000137012280677794,0.000265157855845615,0.000954731629068925,0.0906691455755106
2006,1984,22,"pG",0.159615384615385,"G","G","pG06",0.170041656744723,0.154113769918151,0.189828203504488,0.489931170209344,0.000108707150515012,3.02677642768212e-05,0.000912814425225765,0.109108518212554
2007,1984,23,"pG",0.158653846153846,"G","G","pG07",0.164278475800317,0.129648982241394,0.183890207779876,0.5134563971148,3.16364586599565e-05,0.00084128213057985,0.000636873948119768,0.1258848501684
2008,1984,24,"pG",0.163461538461538,"G","G","pG08",0.160560443745044,0.109668655499927,0.179630637322317,0.53759558443135,8.41635055407421e-06,0.00289367425732168,0.000261439757969639,0.139976284353741
2009,1984,25,"pG",0.153846153846154,"G","G","pG09",0.158153971596771,0.0935223171674234,0.176550156999881,0.559557818055116,1.8557293772535e-05,0.00363896527164215,0.000515471759204457,0.164601954475205
2010,1984,26,"pG",0.165384615384615,"G","G","pG10",0.156592510690088,0.0805475323639572,0.17430999054393,0.574256841900371,7.7301104959524e-05,0.00719733065545405,7.96623217345092e-05,0.167176497615952
2000,1980,20,"pgg",NA,"G","G","pgg00",NA,NA,NA,NA,NA,NA,NA,NA
2001,1980,21,"pgg",0.119244391971665,"G","G","pgg01",0.00225360094451003,0.110210348629582,0.139735921907866,0.0967683589138135,0.0136868451851594,8.16139391066238e-05,0.000419902799126221,0.000505172062017622
2002,1980,22,"pgg",0.107438016528926,"G","G","pgg02",0.00193185433766233,0.107967600116267,0.133278512572362,0.108143997059622,0.0111315502603292,2.80458775981531e-07,0.000667731235770853,4.98408509722604e-07
2003,1980,23,"pgg",0.1086186540732,"G","G","pgg03",0.00198698113344599,0.105816608297597,0.130304276233693,0.126800034004803,0.0113703136739306,7.85146052857144e-06,0.000470266208487687,0.000330562576217302
2004,1980,24,"pgg",0.103896103896104,"G","G","pgg04",0.00197290047130699,0.103755480378675,0.128849524022826,0.157453447217247,0.0103883393963725,1.97749736540638e-08,0.000622673176020679,0.00286838902361875
2005,1980,25,"pgg",0.109799291617473,"G","G","pgg05",0.00197461327466571,0.10178226480115,0.128112649377997,0.207907170542868,0.01162616125973,6.42727189736518e-05,0.000335379072464926,0.00962515590723987
2006,1980,26,"pgg",0.103896103896104,"G","G","pgg06",0.00197389143678026,0.0998949656361862,0.127730428081344,0.291084269546709,0.0103881373926035,1.60091073749769e-05,0.000568075009367101,0.0350394093596383
2007,1980,27,"pgg",0.106257378984652,"G","G","pgg07",0.00197390173165135,0.0980915557935041,0.127528587434921,0.428410731973668,0.010875043627977,6.66806683890835e-05,0.000452464308934795,0.103782782842066
2008,1980,28,"pgg",0.109799291617473,"G","G","pgg08",0.00197385302670224,0.0963699890700218,0.12742047433281,0.655444874275732,0.0116263252072922,0.000180346166910992,0.000310506080287291,0.29772910187447
2009,1980,29,"pgg",0.116883116883117,"G","G","pgg09",0.00197384639148478,0.0947282110718126,0.12736189523488,1.03125126660901,0.0132041404449191,0.000490839851507765,0.000109804795745373,0.836069113233144
2010,1980,30,"pgg",0.116883116883117,"G","G","pgg10",0.00197384199874934,0.0931641690513052,0.127329859138797,1.65401871076771,0.0132041414544511,0.000562588486248205,0.000109134423756619,2.36278583398695
2000,1981,19,"pgg",NA,"G","G","pgg00",NA,NA,NA,NA,NA,NA,NA,NA
2001,1981,20,"pgg",0.157894736842105,"G","G","pgg01",0.0704860990712074,0.148625859348791,0.168248252643081,0.151918101135191,0.00764026995696403,8.59120899860707e-05,0.000107195289441055,3.57201743731635e-05
2002,1981,21,"pgg",0.153766769865841,"G","G","pgg02",0.0607939065313725,0.141448110741476,0.156412353809109,0.160210061640351,0.00864395331660976,0.000151749362622292,6.99911440087907e-06,4.15160088914654e-05
2003,1981,22,"pgg",0.154798761609907,"G","G","pgg03",0.0589495482682315,0.134870890279799,0.151811323715703,0.172506958214254,0.00918707169821804,0.000397120055749364,8.92478517172934e-06,0.000313580226978188
2004,1981,23,"pgg",0.158926728586171,"G","G","pgg04",0.0580903342279101,0.128872692202479,0.149679309287702,0.190849675510479,0.0101679784271748,0.000903245102952284,8.55147636817057e-05,0.00101907454033219
2005,1981,24,"pgg",0.155830753353973,"G","G","pgg05",0.0576287712369112,0.123428859887518,0.148613879731569,0.218363381077736,0.00964362929171976,0.00104988270021152,5.20832648817587e-05,0.00391032953003876
2006,1981,25,"pgg",0.144478844169247,"G","G","pgg06",0.0573778042820901,0.118512679585974,0.148056601104838,0.259851014222018,0.00758659114942404,0.000674241703165606,1.28003446901708e-05,0.0133107376226855
2007,1981,26,"pgg",0.140350877192982,"G","G","pgg07",0.057241216346013,0.114096317006628,0.14775469674295,0.322718208054113,0.00690721572609829,0.000689301930578902,5.48165439284883e-05,0.033257843365413
2008,1981,27,"pgg",0.148606811145511,"G","G","pgg08",0.0571668733704242,0.110151593949251,0.147586189907559,0.418417146770791,0.00836126222031171,0.00147880372961155,1.04166771135843e-06,0.0727976172102261
2009,1981,28,"pgg",0.141382868937049,"G","G","pgg09",0.0571264092597407,0.106650611404496,0.147489724036086,0.564703803213035,0.0070991509973538,0.00120632971330756,3.72936792006382e-05,0.179200613396294
2010,1981,29,"pgg",0.153766769865841,"G","G","pgg10",0.0571043850542296,0.103566231779232,0.147433343099315,0.78917124798342,0.00934361663746806,0.00252009402418511,4.01122946069492e-05,0.403738850811873
2000,1982,18,"pgg",NA,"G","G","pgg00",NA,NA,NA,NA,NA,NA,NA,NA
2001,1982,19,"pgg",0.175542406311637,"G","G","pgg01",0.0249298619329388,0.161933485531941,0.166913386883435,0.173922090729783,0.0226841385242254,0.000185202724788034,7.44599762922951e-05,2.62542258479911e-06
2002,1982,20,"pgg",0.148915187376726,"G","G","pgg02",0.0188770082856016,0.151825887796325,0.150844429860976,0.196870720143294,0.0169099280213353,8.47217693265563e-06,3.72197656303607e-06,0.00229973312292538
2003,1982,21,"pgg",0.144970414201183,"G","G","pgg03",0.019501145476673,0.142636487415776,0.146397483941902,0.231784816246111,0.0157425373942634,5.44721423964143e-06,2.03652804487457e-06,0.00753674040241827
2004,1982,22,"pgg",0.136094674556213,"G","G","pgg04",0.018455422456995,0.134356995782319,0.144191054195463,0.2849993996565,0.0138389936344634,3.01952752124252e-06,6.55513632628642e-05,0.022172617157192
2005,1982,23,"pgg",0.131163708086785,"G","G","pgg05",0.0183505800036793,0.12696310930634,0.142967449066072,0.366255697338233,0.0127268018678952,1.76450301142747e-05,0.000139328301106088,0.0552682434102031
2006,1982,24,"pgg",0.137080867850099,"G","G","pgg06",0.0181238272788822,0.120418772394725,0.142262124120396,0.490560461339568,0.014150777501462,0.000277625424963998,2.68454165384909e-05,0.124947823013481
2007,1982,25,"pgg",0.124260355029586,"G","G","pgg07",0.0180542317546526,0.11468006555873,0.141846530367024,0.68107488059297,0.0112797406210903,9.17819463453813e-05,0.000309273562999107,0.310042415878377
2008,1982,26,"pgg",0.140039447731755,"G","G","pgg08",0.0179949077029254,0.10969854427609,0.141597631119686,0.973610816664821,0.0148948697508487,0.000920570422506008,2.42793547042434e-06,0.694841227104944
2009,1982,27,"pgg",0.142011834319527,"G","G","pgg09",0.0179684727185334,0.105423954321712,0.141446644492498,1.42364015356839,0.0153867555572748,0.00133867296273446,3.19439540576626e-07,1.64257114870067
2010,1982,28,"pgg",0.13905325443787,"G","G","pgg10",0.0179511692036765,0.101806325762212,0.141354148871659,2.11723935186696,0.0146657150480698,0.00138733369576954,5.294115195443e-06,3.91322023606174
2000,1983,17,"pgg",NA,"G","G","pgg00",NA,NA,NA,NA,NA,NA,NA,NA
2001,1983,18,"pgg",0.209082308420057,"G","G","pgg01",0.212224811731315,0.214622029556527,0.24758752450349,0.281565231788079,9.8753270612693e-06,3.06885102698528e-05,0.0014826516656319,0.00525377417997465
2002,1983,19,"pgg",0.17123935666982,"G","G","pgg02",0.164340059041526,0.187576379596834,0.206606233893251,0.296964156260454,4.76003077637859e-05,0.000266898318117767,0.00125081600453722,0.015806725232105
2003,1983,20,"pgg",0.149479659413434,"G","G","pgg03",0.138601098071829,0.162882766288256,0.184254679717449,0.316875497984709,0.000118343096863059,0.000179643273897882,0.00120930203714465,0.0280213667709803
2004,1983,21,"pgg",0.135288552507096,"G","G","pgg04",0.124437336341045,0.140921833115792,0.17063584725637,0.342546540054266,0.000117748892282364,3.17338504163148e-05,0.00124943124609207,0.0429558734021032
2005,1983,22,"pgg",0.127719962157048,"G","G","pgg05",0.116502348104991,0.121840309075678,0.161873188448449,0.375523798515481,0.000125834865020903,3.45703203572684e-05,0.00116644286611166,0.061406741313957
2006,1983,23,"pgg",0.133396404919584,"G","G","pgg06",0.111997911850253,0.105584314601659,0.156082859470395,0.417695512828549,0.000457895505638196,0.000773512367852412,0.000514675220086007,0.0808259827578335
2007,1983,24,"pgg",0.130558183538316,"G","G","pgg07",0.109416615863469,0.0919549784030935,0.152202397294708,0.471318448684391,0.000446965883750148,0.00149020744671207,0.000468471989132392,0.116117558302423
2008,1983,25,"pgg",0.125827814569536,"G","G","pgg08",0.107927533020446,0.0806685870880864,0.149580803364872,0.539007597272153,0.000320420079536711,0.00203935582672135,0.000564204476711332,0.170717532834182
2009,1983,26,"pgg",0.118259224219489,"G","G","pgg09",0.107064556385642,0.0714081765247708,0.147800973855929,0.623651226789828,0.000125320587910166,0.00219502067009277,0.000872714971582122,0.255421076262057
2010,1983,27,"pgg",0.115421002838221,"G","G","pgg10",0.106562847259539,0.0638605219247494,0.146588871751789,0.728187175263498,7.84669202561355e-05,0.00265848319202851,0.000971436052613363,0.375482382068724
2000,1984,16,"pgg",NA,"G","G","pgg00",NA,NA,NA,NA,NA,NA,NA,NA
2001,1984,17,"pgg",0.278846153846154,"G","G","pgg01",0.269382884615385,0.255697208302515,0.291537960428994,0.341236807692308,8.95534645340237e-05,0.000535873679782364,0.000161081954336226,0.0038925936873506
