model,cohort,Tgi,Tga,Tig,Tag,Tia,Tai,Cgi,Cig,Cag,Cga,Cia,Cai,md,p,DIC,PSRF,Tgi_rhat,Tga_rhat,Tig_rhat,Tag_rhat,Tia_rhat,Tai_rhat,Cgi_rhat,Cig_rhat,Cag_rhat,Cga_rhat,Cia_rhat,Cai_rhat,Tgi_median,Tga_median,Tig_median,Tag_median,Tia_median,Tai_median,Cgi_median,Cig_median,Cag_median,Cga_median,Cia_median,Cai_median
Diffusion,1980,0.55617,0.30363,0.28872,0.25738,0.13714,0.11878,0,0,0,0,0,0,-116.3,9.944,-106.3,1.05,1.03,1.03,1.02,1.01,1.04,1.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.56784,0.28714,0.28596,0.25306,0.13071,0.09601,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diffusion,1981,0.58642,0.15565,0.38468,0.12692,0.11547,0.16207,0,0,0,0,0,0,-121,8.893,-112.1,1.02,1.01,1.02,1.01,1.01,1.03,1.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.59865,0.14226,0.38784,0.12307,0.10446,0.14497,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diffusion,1982,0.41712,0.08552,0.23711,0.08894,0.12008,0.11749,0,0,0,0,0,0,-106,8.557,-97.49,1.02,1.01,1,1.02,1.01,1.02,1.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.4127,0.07089,0.23471,0.07697,0.10586,0.09292,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diffusion,1983,0.28216,0.07677,0.1363,0.09929,0.23531,0.25289,0,0,0,0,0,0,-102.4,8.65,-93.72,1.02,1.01,1.01,1,1.01,1.02,1.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.28351,0.06236,0.133,0.0917,0.22862,0.23681,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diffusion,1984,0.22022,0.05096,0.08886,0.07127,0.17114,0.1577,0,0,0,0,0,0,-96.5,8.39,-88.11,1.01,1,1,1,1,1.01,1.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2157,0.0409,0.07901,0.06247,0.16689,0.1427,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
