model,cohort,Tgi,Tga,Tig,Tag,Tia,Tai,Cgi,Cig,Cag,Cga,Cia,Cai,md,p,DIC,PSRF,Tgi_rhat,Tga_rhat,Tig_rhat,Tag_rhat,Tia_rhat,Tai_rhat,Cgi_rhat,Cig_rhat,Cag_rhat,Cga_rhat,Cia_rhat,Cai_rhat,Tgi_median,Tga_median,Tig_median,Tag_median,Tia_median,Tai_median,Cgi_median,Cig_median,Cag_median,Cga_median,Cia_median,Cai_median
Hybrid,1980,0.6573,0.6127,0.5659,0.5664,0.3705,0.3395,0.3531,0.204,0.3444,0.3941,0.4384,0.4355,-91.55,11.4,-80.15,3.17,2.51,3.05,3.58,2.48,2.24,2.35,1.05,1.12,1.12,1.08,1.01,1.01,0.75744,0.72864,0.63412,0.65653,0.3268,0.30051,0.3246,0.12856,0.27478,0.37556,0.41079,0.40167
Hybrid,1981,0.63485,0.47995,0.61025,0.4248,0.45633,0.44807,0.35224,0.30265,0.32194,0.3625,0.43691,0.45725,-95.33,11.74,-83.59,2.33,1.95,2.1,1.7,1.91,1.76,1.61,1.12,1.09,1.06,1.01,1.02,1.01,0.64815,0.45439,0.63894,0.42637,0.45251,0.44036,0.30815,0.20482,0.25903,0.3307,0.42049,0.44098
Hybrid,1982,0.63688,0.45864,0.46418,0.55709,0.50696,0.35033,0.25128,0.26252,0.37308,0.43063,0.37913,0.42178,-85.25,13.24,-72,2.37,2.13,1.37,2.38,1.35,2.12,1.48,1.11,1.1,1.03,1.03,1.05,1.01,0.66337,0.45243,0.46296,0.58115,0.55304,0.34192,0.18063,0.18008,0.3244,0.4151,0.34489,0.38201
Hybrid,1983,0.65519,0.37995,0.57181,0.38679,0.42727,0.36035,0.39649,0.24128,0.3746,0.44408,0.41111,0.36418,-100.7,14.65,-86.06,3.87,3.67,2.38,3.37,2.64,1.13,1.18,1.56,1.16,1.17,1.16,1.03,1.03,0.717718,0.353519,0.693698,0.335355,0.412508,0.331829,0.369383,0.180909,0.299154,0.441321,0.390501,0.297631
Hybrid,1984,0.42126,0.37643,0.26855,0.46272,0.48663,0.34743,0.43954,0.43293,0.35301,0.40686,0.36405,0.41409,-79,12.33,-66.67,1.78,1.56,1.73,1.36,1.55,1.12,1.11,1.02,1.01,1.04,1.01,1.01,1.01,0.35621,0.33549,0.19697,0.43456,0.46743,0.31839,0.42374,0.40594,0.32545,0.37839,0.3221,0.37742
