model,cohort,Tgi,Tga,Tig,Tag,Tia,Tai,Cgi,Cig,Cag,Cga,Cia,Cai,md,p,DIC,PSRF,Tgi_rhat,Tga_rhat,Tig_rhat,Tag_rhat,Tia_rhat,Tai_rhat,Cgi_rhat,Cig_rhat,Cag_rhat,Cga_rhat,Cia_rhat,Cai_rhat,Tgi_median,Tga_median,Tig_median,Tag_median,Tia_median,Tai_median,Cgi_median,Cig_median,Cag_median,Cga_median,Cia_median,Cai_median
Hybrid,1980,0.25289,0.2985,0.54299,0.68673,0.39558,0.5814,1,1,1,1,1,1,-88.14,6.854,-81.29,1.03,1.02,1.02,1,1,1.01,1.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2248,0.28687,0.56412,0.74314,0.40195,0.61324,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hybrid,1981,0.24692,0.27497,0.46276,0.69722,0.36486,0.49536,1,1,1,1,1,1,-90.48,7.395,-83.08,1.02,1.02,1.02,1,1.01,1.01,1.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.22087,0.26145,0.44266,0.7506,0.35695,0.48378,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hybrid,1982,0.26504,0.2622,0.51083,0.64933,0.38915,0.51094,1,1,1,1,1,1,-75.93,7.262,-68.67,1.02,1,1.01,1,1,1.01,1.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.24598,0.24453,0.51411,0.69484,0.38562,0.50601,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hybrid,1983,0.455393,0.222597,0.481991,0.891016,0.556751,0.547758,1,1,1,1,1,1,-94.7,9.367,-85.33,1.01,1.01,1,1.01,1.02,1.01,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.458632,0.21212,0.47773,0.922746,0.571554,0.567321,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hybrid,1984,0.36998,0.18206,0.38086,0.68297,0.51958,0.55912,1,1,1,1,1,1,-77.12,8.579,-68.54,1.01,1.01,1,1,1,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.37334,0.16969,0.33027,0.7128,0.53419,0.58447,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
