model,cohort,Tgi,Tga,Tig,Tag,Tia,Tai,Cgi,Cig,Cag,Cga,Cia,Cai,md,p,DIC,PSRF,Tgi_rhat,Tga_rhat,Tig_rhat,Tag_rhat,Tia_rhat,Tai_rhat,Cgi_rhat,Cig_rhat,Cag_rhat,Cga_rhat,Cia_rhat,Cai_rhat,Tgi_median,Tga_median,Tig_median,Tag_median,Tia_median,Tai_median,Cgi_median,Cig_median,Cag_median,Cga_median,Cia_median,Cai_median
Diffusion,1980,0.50785,0.41084,0.25683,0.14568,0.37239,0.15044,0,0,0,0,0,0,-93.09,9.45,-83.64,1.06,1.03,1.04,1.05,1.02,1.02,1.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.52121,0.3982,0.23877,0.14442,0.35083,0.13029,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diffusion,1981,0.47007,0.2545,0.31099,0.11352,0.25267,0.09923,0,0,0,0,0,0,-93.65,10.55,-83.1,1.03,1.01,1.02,1.01,1.02,1.01,1.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.462243,0.23745,0.290975,0.113374,0.23822,0.084725,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diffusion,1982,0.53858,0.23263,0.40653,0.08397,0.26126,0.10728,0,0,0,0,0,0,-80.27,9.492,-70.78,1.02,1.01,1.01,1.01,1,1.02,1.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.54434,0.2106,0.40762,0.07919,0.23334,0.09198,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diffusion,1983,0.271692,0.095645,0.086874,0.070547,0.379715,0.119233,0,0,0,0,0,0,-100.6,11.25,-89.36,1.01,1.01,1.02,1.01,1,1,1.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.283869,0.077203,0.074403,0.073565,0.363345,0.106063,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diffusion,1984,0.22771,0.07982,0.08118,0.04243,0.39062,0.14045,0,0,0,0,0,0,-76.69,10.58,-66.11,1,1,1,1.01,1,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.22774,0.06436,0.06584,0.03982,0.37681,0.12985,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
