model,cohort,Tgi,Tga,Tig,Tag,Tia,Tai,Cgi,Cig,Cag,Cga,Cia,Cai,md,p,DIC,PSRF,Tgi_rhat,Tga_rhat,Tig_rhat,Tag_rhat,Tia_rhat,Tai_rhat,Cgi_rhat,Cig_rhat,Cag_rhat,Cga_rhat,Cia_rhat,Cai_rhat,Tgi_median,Tga_median,Tig_median,Tag_median,Tia_median,Tai_median,Cgi_median,Cig_median,Cag_median,Cga_median,Cia_median,Cai_median
Contagion,1980,0.15352,0.09229,0.22377,0.31911,0.13259,0.24501,1,1,1,1,1,1,-74.76,9.03,-65.73,1,1,1,1,1,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.11925,0.07296,0.16807,0.26167,0.10876,0.19052,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Contagion,1981,0.18395,0.08106,0.22175,0.18911,0.1012,0.14799,1,1,1,1,1,1,-76.74,10.86,-65.88,1,1,1,1,1,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.14372,0.06006,0.16886,0.13655,0.08022,0.10525,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Contagion,1982,0.18994,0.08845,0.1854,0.24264,0.14574,0.21969,1,1,1,1,1,1,-62.63,9.973,-52.65,1,1,1,1,1,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.14872,0.06642,0.13623,0.18657,0.12677,0.16902,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Contagion,1983,0.14213,0.06396,0.08169,0.13792,0.18115,0.27654,1,1,1,1,1,1,-57.75,10.33,-47.42,1,1,1,1,1,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.11516,0.04776,0.05545,0.09104,0.15864,0.22247,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Contagion,1984,0.14381,0.06568,0.06097,0.1072,0.17392,0.24021,1,1,1,1,1,1,-53.49,10.52,-42.96,1,1,1,1,1,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.12339,0.04993,0.04154,0.06886,0.15416,0.19199,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
