model,cohort,Tgi,Tga,Tig,Tag,Tia,Tai,Cgi,Cig,Cag,Cga,Cia,Cai,md,p,DIC,PSRF,Tgi_rhat,Tga_rhat,Tig_rhat,Tag_rhat,Tia_rhat,Tai_rhat,Cgi_rhat,Cig_rhat,Cag_rhat,Cga_rhat,Cia_rhat,Cai_rhat,Tgi_median,Tga_median,Tig_median,Tag_median,Tia_median,Tai_median,Cgi_median,Cig_median,Cag_median,Cga_median,Cia_median,Cai_median
Contagion,1980,0.15863,0.09186,0.22901,0.32039,0.14215,0.26229,1,1,1,1,1,1,-74.73,9.137,-65.59,1.03,1.01,1,1.01,1.01,1.03,1.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.12133,0.07192,0.1788,0.26099,0.11728,0.20639,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Contagion,1981,0.17231,0.07795,0.21159,0.17643,0.09422,0.13916,1,1,1,1,1,1,-77.21,10.63,-66.58,1.03,1.03,1.01,1.04,1.01,1,1.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.13539,0.05916,0.15662,0.12562,0.07727,0.10369,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Contagion,1982,0.1842,0.08793,0.17672,0.24263,0.13968,0.20645,1,1,1,1,1,1,-62.52,9.865,-52.66,1.01,1,1,1,1,1,1.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1438,0.06581,0.12956,0.18604,0.12237,0.16148,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Contagion,1983,0.14533,0.06349,0.08177,0.13963,0.18484,0.28084,1,1,1,1,1,1,-57.79,10.17,-47.63,1.01,1.01,1,1.01,1,1.01,1.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.11728,0.0475,0.05556,0.09224,0.16163,0.22569,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Contagion,1984,0.14333,0.06531,0.06045,0.10655,0.1745,0.24112,1,1,1,1,1,1,-53.5,10.35,-43.15,1,1,1,1,1,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.12289,0.05018,0.04145,0.06836,0.15534,0.19384,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
