model,cohort,Tgi,Tga,Tig,Tag,Tia,Tai,Cgi,Cig,Cag,Cga,Cia,Cai,md,p,DIC,PSRF,Tgi_rhat,Tga_rhat,Tig_rhat,Tag_rhat,Tia_rhat,Tai_rhat,Cgi_rhat,Cig_rhat,Cag_rhat,Cga_rhat,Cia_rhat,Cai_rhat,Tgi_median,Tga_median,Tig_median,Tag_median,Tia_median,Tai_median,Cgi_median,Cig_median,Cag_median,Cga_median,Cia_median,Cai_median
Diffusion,1980,0.53337,0.43576,0.22632,0.1757,0.35221,0.11808,0,0,0,0,0,0,-95.3,9.267,-86.03,1.04,1.01,1.02,1.02,1.01,1,1.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.541,0.41548,0.2106,0.17532,0.33045,0.09873,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diffusion,1981,0.41798,0.29641,0.26948,0.1317,0.21273,0.07649,0,0,0,0,0,0,-97.47,11.07,-86.4,1.03,1.01,1.01,1.02,1.01,1.01,1.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.413711,0.276289,0.262776,0.129539,0.188221,0.062069,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diffusion,1982,0.66524,0.24247,0.44125,0.11925,0.23969,0.06485,0,0,0,0,0,0,-89.57,11.1,-78.46,1.02,1.01,1,1.01,1,1.02,1.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.66936,0.21759,0.44011,0.11203,0.21734,0.05683,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diffusion,1983,0.285439,0.089643,0.088795,0.072743,0.359801,0.104624,0,0,0,0,0,0,-102,12.97,-89,1.01,1.01,1.01,1.01,1.01,1.01,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.294689,0.072807,0.076283,0.075385,0.342005,0.091734,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diffusion,1984,0.21149,0.11438,0.08343,0.04932,0.3102,0.10952,0,0,0,0,0,0,-78.42,10.87,-67.56,1,1,1,1,1,1,1.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.21424,0.09915,0.06972,0.04619,0.28802,0.09498,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
