model,cohort,Tgi,Tga,Tig,Tag,Tia,Tai,Cgi,Cig,Cag,Cga,Cia,Cai,md,p,DIC,PSRF,Tgi_rhat,Tga_rhat,Tig_rhat,Tag_rhat,Tia_rhat,Tai_rhat,Cgi_rhat,Cig_rhat,Cag_rhat,Cga_rhat,Cia_rhat,Cai_rhat,Tgi_median,Tga_median,Tig_median,Tag_median,Tia_median,Tai_median,Cgi_median,Cig_median,Cag_median,Cga_median,Cia_median,Cai_median
Hybrid,1980,0.25417,0.19748,0.58346,0.6081,0.16195,0.43321,1,1,1,1,1,1,-110.3,6.738,-103.6,1.01,1.01,1,1,1.01,1.01,1.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.23819,0.18182,0.61372,0.64498,0.15634,0.41037,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hybrid,1981,0.26482,0.18609,0.51364,0.71343,0.14798,0.39204,1,1,1,1,1,1,-113.4,7.001,-106.4,1.01,1.02,1.01,1.01,1,1.02,1.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.25537,0.17699,0.51457,0.76282,0.1399,0.37186,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hybrid,1982,0.34186,0.11456,0.56528,0.59154,0.1545,0.28785,1,1,1,1,1,1,-103,7.077,-95.88,1.01,1.01,1,1,1,1.01,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.34545,0.09954,0.59299,0.6222,0.14419,0.2381,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hybrid,1983,0.42048,0.11733,0.60809,0.76889,0.25969,0.5087,1,1,1,1,1,1,-100.7,7.267,-93.47,1.01,1,1,1.01,1,1.01,1.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.42853,0.10257,0.65362,0.8171,0.26524,0.50892,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hybrid,1984,0.37393,0.07944,0.49475,0.62565,0.22615,0.3917,1,1,1,1,1,1,-96.76,7.488,-89.27,1.02,1.01,1.01,1,1,1.02,1.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.37275,0.06908,0.49077,0.66239,0.2234,0.37753,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
