cohort,cattrans,t00,t01,t02,t03,t04,t05,t06,t07,t08,pt00,pt01,pt02,pt03,pt04,pt05,pt06,pt07,pt08
1983,ga,,45,26,29,18,14,16,14,11,0,0.05044843,0.029147982,0.032511211,0.020179372,0.015695067,0.01793722,0.015695067,0.012331839
1983,gi,,105,84,57,51,49,43,44,47,0,0.117713004,0.094170404,0.063901345,0.057174888,0.054932735,0.048206278,0.049327354,0.052690583
1983,ig,,38,43,38,34,35,41,31,35,0,0.042600897,0.048206278,0.042600897,0.038116592,0.039237668,0.045964126,0.034753363,0.039237668
1983,ai,,75,59,79,79,96,66,66,73,0,0.084080717,0.066143498,0.088565022,0.088565022,0.107623318,0.073991031,0.073991031,0.081838565
1983,ag,,32,20,16,18,30,15,22,18,0,0.035874439,0.022421525,0.01793722,0.020179372,0.033632287,0.016816143,0.024663677,0.020179372
1983,ia,,83,117,103,108,91,107,89,90,0,0.093049327,0.131165919,0.115470852,0.121076233,0.102017937,0.119955157,0.099775785,0.100896861
1984,G,442,375,275,241,199,185,174,175,178,0.495515695,0.420403587,0.308295964,0.270179372,0.22309417,0.207399103,0.195067265,0.196188341,0.19955157
1984,I,257,283,318,337,305,298,253,276,262,0.288116592,0.317264574,0.356502242,0.377802691,0.341928251,0.334080717,0.283632287,0.30941704,0.293721973
1984,A,403,444,509,524,598,619,675,651,662,0.451793722,0.497757848,0.570627803,0.587443946,0.670403587,0.693946188,0.756726457,0.729820628,0.742152466
1984,gg,,306,228,171,144,131,128,117,120,0,0.343049327,0.255605381,0.191704036,0.161434978,0.146860987,0.143497758,0.131165919,0.134529148
1984,ii,,137,155,184,179,172,167,141,152,0,0.153587444,0.173766816,0.206278027,0.200672646,0.192825112,0.187219731,0.158071749,0.170403587
1984,aa,,319,368,409,441,508,547,560,555,0,0.357623318,0.412556054,0.458520179,0.494394619,0.569506726,0.6132287,0.627802691,0.622197309
1984,ga,,44,39,23,38,14,26,13,20,0,0.049327354,0.043721973,0.025784753,0.042600897,0.015695067,0.029147982,0.014573991,0.022421525
1984,gi,,92,108,81,59,54,31,44,35,0,0.103139013,0.121076233,0.090807175,0.066143498,0.060538117,0.034753363,0.049327354,0.039237668
1984,ig,,39,26,42,39,36,29,34,37,0,0.043721973,0.029147982,0.047085202,0.043721973,0.040358744,0.032511211,0.038116592,0.041479821
1984,ai,,54,55,72,67,72,55,91,75,0,0.060538117,0.061659193,0.080717489,0.075112108,0.080717489,0.061659193,0.102017937,0.084080717
1984,ag,,30,21,28,16,18,17,24,21,0,0.033632287,0.023542601,0.031390135,0.01793722,0.020179372,0.019058296,0.02690583,0.023542601
1984,ia,,81,102,92,119,97,102,78,87,0,0.090807175,0.114349776,0.103139013,0.133408072,0.108744395,0.114349776,0.087443946,0.097533632
