"cohort","time","age","pG","pgg","pgi","pga","pI","pig","pii","pia","pA","pag","pai","paa"
1980,2000,20,0.244391971664699,NA,NA,NA,0.471074380165289,NA,NA,NA,0.284533648170012,NA,NA,NA
1980,2001,21,0.251475796930342,0.161747343565525,0.0743801652892562,0.00826446280991736,0.45926800472255,0.0743801652892562,0.304604486422668,0.0920897284533648,0.289256198347107,0.0153482880755608,0.0802833530106257,0.188902007083825
1980,2002,22,0.219598583234947,0.15702479338843,0.0755608028335301,0.0188902007083825,0.455726092089728,0.0543093270365998,0.311688311688312,0.0932703659976387,0.324675324675325,0.00826446280991736,0.0684769775678867,0.212514757969303
1980,2003,23,0.247933884297521,0.15702479338843,0.0590318772136954,0.00354191263282172,0.412042502951594,0.0802833530106257,0.285714285714286,0.089728453364817,0.340023612750885,0.0106257378984652,0.0672963400236127,0.246753246753247
1980,2004,24,0.240850059031877,0.162927981109799,0.076741440377804,0.00826446280991736,0.420306965761511,0.0602125147579693,0.272727272727273,0.0791027154663518,0.338842975206612,0.0177095631641086,0.0708382526564345,0.251475796930342
1980,2005,25,0.262101534828808,0.18417945690673,0.0495867768595041,0.00708382526564345,0.399055489964581,0.0613931523022432,0.276269185360094,0.0826446280991736,0.338842975206612,0.0165289256198347,0.0731995277449823,0.249114521841795
1980,2006,26,0.234946871310508,0.166469893742621,0.0850059031877214,0.0106257378984652,0.420306965761511,0.0554899645808737,0.263282172373081,0.0802833530106257,0.344746162927981,0.012987012987013,0.0720188902007084,0.25383707201889
1980,2007,27,0.239669421487603,0.168831168831169,0.0590318772136954,0.00708382526564345,0.399055489964581,0.063754427390791,0.279811097992916,0.076741440377804,0.361275088547816,0.00708382526564345,0.0602125147579693,0.277449822904368
1980,2008,28,0.243211334120425,0.166469893742621,0.0649350649350649,0.00826446280991736,0.409681227863046,0.0625737898465171,0.270365997638725,0.0661157024793388,0.347107438016529,0.0141676505312869,0.0743801652892562,0.272727272727273
1980,2009,29,0.233766233766234,0.172373081463991,0.063754427390791,0.00708382526564345,0.413223140495868,0.0472255017709563,0.282172373081464,0.0802833530106257,0.353010625737898,0.0141676505312869,0.0672963400236127,0.265643447461629
1980,2010,30,0.251475796930342,0.17827626918536,0.050767414403778,0.00472255017709563,0.395513577331759,0.0613931523022432,0.278630460448642,0.0731995277449823,0.353010625737898,0.0118063754427391,0.0661157024793388,0.275088547815821
1981,2000,19,0.332301341589267,NA,NA,NA,0.446852425180599,NA,NA,NA,0.220846233230134,NA,NA,NA
1981,2001,20,0.286893704850361,0.21671826625387,0.108359133126935,0.00722394220846233,0.462332301341589,0.0670794633642931,0.282765737874097,0.0970072239422085,0.25077399380805,0.00309597523219814,0.0712074303405573,0.146542827657379
1981,2002,21,0.268317853457172,0.204334365325077,0.0732714138286894,0.00928792569659443,0.444788441692466,0.0505675954592363,0.307533539731682,0.104231166150671,0.286893704850361,0.0134158926728586,0.0639834881320949,0.173374613003096
1981,2003,22,0.293085655314757,0.208462332301342,0.0588235294117647,0.00103199174406605,0.432404540763674,0.0743034055727554,0.297213622291022,0.0732714138286894,0.274509803921569,0.0103199174406605,0.0763673890608875,0.200206398348813
1981,2004,23,0.280701754385965,0.217750257997936,0.065015479876161,0.0103199174406605,0.435500515995872,0.0536635706914345,0.303405572755418,0.0753353973168215,0.283797729618163,0.00928792569659443,0.0670794633642931,0.198142414860681
1981,2005,24,0.277605779153767,0.202270381836945,0.0681114551083591,0.0103199174406605,0.431372549019608,0.0598555211558308,0.29514963880289,0.0804953560371517,0.291021671826625,0.0154798761609907,0.0681114551083591,0.200206398348813
1981,2006,25,0.280701754385965,0.212590299277606,0.0567595459236326,0.00825593395252838,0.409700722394221,0.0546955624355005,0.292053663570691,0.0846233230134159,0.309597523219814,0.0134158926728586,0.0608875128998968,0.21671826625387
1981,2007,26,0.26625386996904,0.208462332301342,0.0691434468524252,0.00309597523219814,0.410732714138287,0.0464396284829721,0.277605779153767,0.0856553147574819,0.323013415892673,0.0113519091847265,0.0639834881320949,0.234262125902993
1981,2008,27,0.268317853457172,0.206398348813209,0.0536635706914345,0.00619195046439629,0.418988648090815,0.0567595459236326,0.282765737874097,0.0712074303405573,0.312693498452012,0.00515995872033024,0.0825593395252838,0.235294117647059
1981,2009,28,0.259029927760578,0.198142414860681,0.0619195046439628,0.00825593395252838,0.423116615067079,0.0485036119711042,0.284829721362229,0.0856553147574819,0.317853457172343,0.0123839009287926,0.0763673890608875,0.223942208462332
1981,2010,29,0.269349845201238,0.201238390092879,0.0557275541795666,0.00206398348813209,0.404540763673891,0.0557275541795666,0.283797729618163,0.0835913312693498,0.326109391124871,0.0123839009287926,0.065015479876161,0.240454076367389
1982,2000,18,0.341222879684418,NA,NA,NA,0.411242603550296,NA,NA,NA,0.247534516765286,NA,NA,NA
1982,2001,19,0.305719921104536,0.229783037475345,0.0956607495069034,0.0157790927021696,0.443786982248521,0.0650887573964497,0.274161735700197,0.0719921104536489,0.250493096646943,0.0108481262327416,0.0739644970414201,0.162721893491124
1982,2002,20,0.269230769230769,0.203155818540434,0.0936883629191322,0.00887573964497041,0.455621301775148,0.0562130177514793,0.296844181459566,0.0907297830374754,0.275147928994083,0.00986193293885602,0.0650887573964497,0.175542406311637
1982,2003,21,0.277120315581854,0.202169625246548,0.0552268244575937,0.0118343195266272,0.422090729783037,0.0641025641025641,0.304733727810651,0.0867850098619329,0.300788954635108,0.0108481262327416,0.0621301775147929,0.202169625246548
