model,cohort,Tgi,Tga,Tig,Tag,Tia,Tai,Cgi,Cig,Cag,Cga,Cia,Cai,md,p,DIC,PSRF,Tgi_rhat,Tga_rhat,Tig_rhat,Tag_rhat,Tia_rhat,Tai_rhat,Cgi_rhat,Cig_rhat,Cag_rhat,Cga_rhat,Cia_rhat,Cai_rhat,Tgi_median,Tga_median,Tig_median,Tag_median,Tia_median,Tai_median,Cgi_median,Cig_median,Cag_median,Cga_median,Cia_median,Cai_median
Contagion,1980,0.55446,0.49013,0.43632,0.51908,0.53862,0.48448,1,1,1,1,1,1,-85.77,6.573,-79.2,1.01,1,1,1,1,1.01,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.57666,0.49046,0.40722,0.52677,0.54327,0.48801,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Contagion,1981,0.60139,0.46794,0.41479,0.50327,0.53792,0.41399,1,1,1,1,1,1,-89.42,7.161,-82.25,1.01,1,1.01,1,1.01,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.63177,0.45916,0.38694,0.49981,0.53336,0.3969,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Contagion,1982,0.64445,0.47113,0.35775,0.53223,0.5819,0.41226,1,1,1,1,1,1,-75.3,6.808,-68.49,1.01,1,1,1,1,1.01,1.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.68779,0.46624,0.31371,0.53713,0.59244,0.40414,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Contagion,1983,0.72311,0.49239,0.27816,0.51631,0.58552,0.38646,1,1,1,1,1,1,-75.25,6.994,-68.25,1,1,1,1,1,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.7718,0.49712,0.23068,0.51932,0.58725,0.36889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Contagion,1984,0.7288,0.52033,0.26931,0.47873,0.59659,0.38833,1,1,1,1,1,1,-72.78,7.323,-65.45,1,1,1,1,1,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.77005,0.52597,0.22892,0.47079,0.60247,0.37447,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
