model,cohort,Tgi,Tga,Tig,Tag,Tia,Tai,Cgi,Cig,Cag,Cga,Cia,Cai,md,p,DIC,PSRF,Tgi_rhat,Tga_rhat,Tig_rhat,Tag_rhat,Tia_rhat,Tai_rhat,Cgi_rhat,Cig_rhat,Cag_rhat,Cga_rhat,Cia_rhat,Cai_rhat,Tgi_median,Tga_median,Tig_median,Tag_median,Tia_median,Tai_median,Cgi_median,Cig_median,Cag_median,Cga_median,Cia_median,Cai_median
Hybrid,1980,0.68027,0.57246,0.40153,0.42586,0.57257,0.3518,0.36986,0.48317,0.46606,0.46226,0.53924,0.59339,-93.69,8.82,-84.87,1.04,1,1.01,1.01,1.02,1.02,1.01,1.01,1,1.01,1,1,1.01,0.73118,0.59682,0.35722,0.38103,0.58778,0.30002,0.31604,0.47463,0.45557,0.44159,0.55458,0.63397
Hybrid,1981,0.64128,0.54602,0.41276,0.44144,0.49056,0.32075,0.48643,0.44728,0.52972,0.48074,0.56397,0.61841,-97.65,9.368,-88.28,1.06,1.01,1.01,1.03,1.04,1.01,1.02,1.01,1.02,1.03,1.01,1,1.01,0.67876,0.55711,0.3855,0.40057,0.47901,0.27158,0.47788,0.41814,0.54977,0.46848,0.58917,0.66787
Hybrid,1982,0.76714,0.476,0.53419,0.46473,0.58574,0.2937,0.23754,0.39838,0.52774,0.52901,0.54454,0.62063,-88.01,10.73,-77.28,1.02,1,1,1.01,1.01,1.01,1.02,1.01,1.01,1,1,1,1.01,0.80225,0.46363,0.54504,0.43396,0.60363,0.24563,0.18413,0.35444,0.54887,0.5387,0.56349,0.67266
Hybrid,1983,0.635068,0.473429,0.351378,0.483889,0.606361,0.342068,0.421004,0.489847,0.624079,0.570277,0.485029,0.569472,-101.4,11.56,-89.87,1.08,1.01,1.05,1.02,1.07,1.01,1.01,1.05,1.02,1.06,1.01,1,1,0.643872,0.441734,0.303327,0.475932,0.622955,0.30418,0.409575,0.485016,0.676454,0.603374,0.478217,0.598206
Hybrid,1984,0.62583,0.41516,0.28006,0.37013,0.57449,0.34782,0.62517,0.58328,0.6395,0.59275,0.52128,0.58727,-80.86,9.698,-71.16,1.02,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1,1.01,1,1,1,0.6444,0.37848,0.22277,0.31401,0.58652,0.30188,0.65425,0.61999,0.6912,0.6281,0.52436,0.62764
