model,cohort,Tgi,Tga,Tig,Tag,Tia,Tai,Cgi,Cig,Cag,Cga,Cia,Cai,md,p,DIC,PSRF,Tgi_rhat,Tga_rhat,Tig_rhat,Tag_rhat,Tia_rhat,Tai_rhat,Cgi_rhat,Cig_rhat,Cag_rhat,Cga_rhat,Cia_rhat,Cai_rhat,Tgi_median,Tga_median,Tig_median,Tag_median,Tia_median,Tai_median,Cgi_median,Cig_median,Cag_median,Cga_median,Cia_median,Cai_median
Hybrid,1980,0.67673,0.65138,0.36737,0.22527,0.53475,0.26312,0.48513,0.4667,0.51192,0.52659,0.49905,0.56624,-91.51,7.529,-83.98,1.01,1,1,1,1,1.01,1.01,1,1,1,1,1,1,0.73392,0.7027,0.33838,0.19473,0.5343,0.23397,0.47917,0.44998,0.51608,0.53724,0.50012,0.59753
Hybrid,1981,0.68612,0.63144,0.35487,0.29289,0.52123,0.22822,0.45686,0.46757,0.51547,0.47138,0.54545,0.59298,-97.78,8.626,-89.15,1.02,1,1,1,1.01,1,1,1,1,1,1.01,1,1,0.73825,0.67813,0.32963,0.26432,0.51347,0.18475,0.43712,0.45164,0.52571,0.46194,0.56906,0.63463
Hybrid,1982,0.78369,0.62062,0.38255,0.29785,0.53719,0.20164,0.38001,0.41343,0.51732,0.50108,0.55063,0.61457,-84.21,8.495,-75.72,1.01,1,1,1,1,1,1.01,1,1,1,1,1,1,0.83962,0.66055,0.35566,0.26845,0.54129,0.15954,0.33235,0.37084,0.52646,0.50457,0.57565,0.66495
Hybrid,1983,0.737637,0.492368,0.280397,0.282555,0.627709,0.213766,0.4887,0.474884,0.59701,0.571844,0.491955,0.559738,-100.3,11.09,-89.24,1.02,1,1.01,1.01,1.02,1,1,1,1,1.01,1,1,1,0.77528,0.485808,0.255147,0.235409,0.650339,0.187537,0.483945,0.462981,0.643577,0.60286,0.486882,0.589224
Hybrid,1984,0.64713,0.44381,0.26531,0.23295,0.60676,0.22507,0.68462,0.51786,0.60708,0.62087,0.51843,0.5635,-80.25,9.595,-70.66,1,1,1,1,1,1,1,1,1,1,1,1,1,0.67072,0.42031,0.21806,0.18097,0.62844,0.19477,0.74235,0.52833,0.65615,0.67317,0.5284,0.59286
